Regiosoort,Regionaam,23/03/2020,22/03/2020,21/03/2020,20/03/2020,19/03/2020,18/03/2020,17/03/2020,16/03/2020,15/03/2020,14/03/2020,13/03/2020,12/03/2020,11/03/2020,10/03/2020,09/03/2020,08/03/2020,07/03/2020,06/03/2020,05/03/2020,04/03/2020,03/03/2020,02/03/2020,01/03/2020
Gemeente,Tilburg,193,178,154,133,119,95,88,84,68,68,67,50,42,29,27,12,10,4,3,3,2,0,0
Gemeente,Tubbergen,4,3,3,3,3,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Gemeente,Twenterand,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Tynaarlo,8,8,7,5,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Tytsjerksteradiel,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Uden,84,82,76,71,60,53,49,43,33,28,25,21,18,13,12,7,6,2,0,0,0,0,0
Gemeente,Uitgeest,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Uithoorn,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Urk,7,7,6,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Utrecht,145,131,121,101,83,69,60,48,38,30,26,25,18,14,13,13,11,8,6,2,2,0,0
Gemeente,Utrechtse Heuvelrug,14,11,8,8,8,6,5,3,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0
Gemeente,Vaals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Valkenburg aan de Geul,4,4,4,4,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Valkenswaard,5,4,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Veendam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Veenendaal,6,3,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Veere,6,5,5,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Gemeente,Veldhoven,11,11,9,5,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Gemeente,Velsen,11,10,8,5,4,4,4,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Venlo,35,33,33,24,21,12,8,6,4,3,2,2,1,1,1,0,0,0,0,0,0,0,0
Gemeente,Venray,10,9,8,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Vijfheerenlanden,12,11,9,7,7,4,4,3,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0
Gemeente,Vlaardingen,15,15,12,7,4,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Vlieland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Vlissingen,8,6,6,6,5,4,4,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Voerendaal,4,4,4,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Voorschoten,3,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Voorst,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Gemeente,Vught,17,15,11,8,8,7,6,3,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0
Gemeente,Waadhoeke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Waalre,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Gemeente,Waalwijk,24,22,16,15,13,12,11,10,8,8,9,6,6,5,5,5,3,1,0,0,0,0,0
Gemeente,Waddinxveen,4,4,4,3,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Gemeente,Wageningen,3,3,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Wassenaar,5,5,5,4,4,3,3,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Waterland,9,8,8,7,7,4,3,3,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Gemeente,Weert,12,7,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Weesp,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,West Betuwe,15,12,12,11,8,6,6,3,3,3,3,2,2,2,2,2,2,1,0,0,0,0,0
Gemeente,West Maas en Waal,7,6,4,4,3,3,3,3,3,2,2,2,1,1,1,1,1,1,0,0,0,0,0
Gemeente,Westerkwartier,8,6,3,2,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Westerveld,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Westervoort,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Westerwolde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Westland,21,15,11,9,7,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Weststellingwerf,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Westvoorne,7,5,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0
Gemeente,Wierden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Wijchen,21,20,17,14,8,8,6,5,4,3,3,2,1,1,1,1,0,0,0,0,0,0,0
Gemeente,Wijdemeren,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Wijk bij Duurstede,6,6,6,5,4,4,4,3,3,2,2,2,1,1,1,1,1,1,0,0,0,0,0
Gemeente,Winterswijk,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Woensdrecht,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Woerden,14,7,6,5,4,4,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0
Gemeente,Wormerland,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Woudenberg,4,3,3,3,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Gemeente,Zaanstad,19,11,9,3,4,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0
Gemeente,Zaltbommel,7,6,5,4,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
Gemeente,Zandvoort,3,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Zeewolde,4,4,4,4,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0
Gemeente,Zeist,19,17,17,13,12,12,12,8,6,4,4,4,3,2,1,1,1,0,0,0,0,0,0
Gemeente,Zevenaar,9,8,6,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Zoetermeer,7,5,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Zoeterwoude,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Zuidplas,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Zundert,9,7,7,7,6,6,4,3,3,3,3,2,2,1,1,1,0,0,0,0,0,0,0
Gemeente,Zutphen,6,4,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Zwartewaterland,19,17,15,9,5,4,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Zwijndrecht,6,6,6,6,6,5,4,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Zwolle,35,28,23,18,16,12,8,6,4,3,2,2,2,1,1,1,0,0,0,0,0,0,0
Provincie,Drenthe,48,41,38,32,25,22,17,16,15,15,13,13,12,12,10,8,3,3,3,2,2,0,0
Provincie,Flevoland,64,57,50,41,36,30,24,22,19,14,7,3,3,2,2,2,2,2,1,0,0,0,0
Provincie,Friesland,39,34,33,22,20,18,14,13,10,8,7,6,3,2,0,0,0,0,0,0,0,0,0
Provincie,Gelderland,502,421,362,303,240,210,173,135,100,76,64,48,36,30,27,27,13,10,2,1,0,0,0
Provincie,Groningen,67,56,46,33,29,15,10,10,9,4,4,3,0,0,0,0,0,0,0,0,0,0,0
Provincie,Limburg,479,437,408,357,291,258,197,149,129,104,67,53,48,32,23,16,11,9,2,0,0,0,0
Provincie,Noord-Holland,560,499,429,327,244,173,151,115,90,83,63,43,36,31,24,23,18,11,10,8,3,0,0
Provincie,Overijssel,201,172,148,93,69,54,42,36,28,23,18,13,12,10,10,9,4,1,1,0,0,0,0
Provincie,Utrecht,401,344,313,267,237,197,173,140,109,87,83,80,67,55,52,52,47,33,23,3,3,0,0
Provincie,Zeeland,54,48,46,36,31,26,20,17,12,10,9,9,6,3,1,2,1,0,0,0,0,0,0
Onbekend,Onbekend,199,170,150,117,93,88,75,70,58,37,0,0,0,0,0,0,0,0,0,0,0,0,0
