Regiosoort,Regionaam,23/03/2020,22/03/2020,21/03/2020,20/03/2020,19/03/2020,18/03/2020,17/03/2020,16/03/2020,15/03/2020,14/03/2020,13/03/2020,12/03/2020,11/03/2020,10/03/2020,09/03/2020,08/03/2020,07/03/2020,06/03/2020,05/03/2020,04/03/2020,03/03/2020,02/03/2020,01/03/2020
Gemeente,Hardinxveld Giessendam,6,6,6,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,2,1,0,0,0
Gemeente,Harlingen,3,3,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Hattem,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Heemskerk,5,5,5,5,3,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Heemstede,13,11,11,7,5,5,5,5,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0
Gemeente,Heerde,13,9,9,5,4,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Heerenveen,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Heerhugowaard,10,8,5,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Heerlen,29,24,19,18,15,14,8,6,5,4,2,2,1,0,0,0,0,0,0,0,0,0,0
Gemeente,Heeze Leende,7,7,4,4,4,4,3,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Gemeente,Heiloo,6,6,4,3,3,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Hellendoorn,5,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0
Gemeente,Hellevoetsluis,5,4,4,4,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Helmond,49,38,32,26,22,20,19,17,17,17,16,14,12,11,7,5,4,4,4,4,1,0,0
Gemeente,Hendrik Ido Ambacht,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Hengelo,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Het Hogeland,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Heumen,9,7,7,7,6,5,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Heusden,16,15,11,7,6,5,4,4,4,4,4,2,2,1,1,1,1,0,0,0,0,0,0
Gemeente,Hillegom,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Hilvarenbeek,7,6,5,4,4,4,4,4,5,5,5,3,1,0,0,0,0,0,0,0,0,0,0
Gemeente,Hilversum,7,7,7,5,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Hoeksche Waard,23,21,17,17,12,8,6,4,2,1,1,1,2,2,2,2,2,1,1,1,0,0,0
Gemeente,Hof van Twente,5,5,4,3,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Hollands Kroon,8,7,6,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
